0
//----------------------------------------------------------------------------------------------------------------------------------------------------//
//Index 0 = StaticEffect | Index 1 = DynamicEffect | Index 2 = SkillEffect                                                                            //
//Hide 1 = Oculta el Objecto pero mantiene el efecto                                                                                                  //
//----------------------------------------------------------------------------------------------------------------------------------------------------//
//      Map      Object     Index      EffectCode      EffectValue      ColorR      ColorG      ColorB      EffectSize      EffectType      Hide      //
//----------------------------------------------------------------------------------------------------------------------------------------------------//
//Acheron
	84	 9	    0	       32002	       6	        0.76	    0.11	0.45	    1.0	            -	            0
	84	 9	    0	       32002	       11	        0.76	    0.11	0.45	    1.0	            -	            0
	84	 9	    0	       32002	       17	        0.76	    0.11	0.45	    1.0	            -	            0
	84	 31	    0	       32049	       6	        1.00	    1.00	1.00	    1.0	            -	            0
	84	 31	    0	       32380	       6	        1.00	    1.00	1.00	    0.25	    -	            0
	84	 31	    0	       32049	       7	        1.00	    1.00	1.00	    1.0	            -	            0
	84	 31	    0	       32380	       7	        1.00	    1.00	1.00	    0.25	    -	            0
	84	 31	    0	       32049	       8	        1.00	    1.00	1.00	    0.5	            -	            0
	84	 31	    0	       32380	       8	        1.00	    1.00	1.00	    0.25	    -	            0
	84	 52	    0	       32002	       3	        0.17	    0.50	0.58	    1.5	            -	            0
	84	 52	    0	       32002	       3	        0.17	    0.50	0.58	    1.5	            -	            0
	84	 52	    1	       32119	       3	        0.17	    0.50	0.58	    -	            1	            0
	84	 73	    0	       32140	       1	        0.66	    1.00	1.00	    0.60	    -	            0
	84	 73	    0	       32140	       1	        0.66	    1.00	1.00	    0.58	    -	            0
	84	 73	    0	       32118	       1	        0.66	    1.00	1.00	    1.0	            -	            0
	84	 73	    1	       32284	       1	        1.00	    1.00	1.00	    -	            0	            0
	84	 100	    0	       32002	       6	        0.03	    0.35	0.58	    0.75	    -	            0
	84	 100	    0	       32002	       15	        0.03	    0.35	0.58	    0.75	    -	            0
	84	 100	    0	       32002	       16	        0.03	    0.35	0.58	    0.75	    -	            0
	84	 100	    0	       32002	       17	        0.03	    0.35	0.58	    0.75	    -	            0
	84	 100	    0	       32002	       24	        0.03	    0.35	0.58	    0.75	    -	            0
	84	 100	    0	       32002	       25	        0.03	    0.35	0.58	    0.75	    -	            0
	84	 54	    1	       32287	       0	        1.00	    1.00	1.00	    -	            2	            1
	84	 55	    1	       32289	       0	        1.00	    1.00	1.00	    -	            4	            1
	84	 56	    1	       32288	       0	        0.005	    0.005	0.005	    -	            2	            1
	84	 69	    1	       32301	       0	        0.17	    0.29	0.33	    -	            1	            1
	84	 80	    1	       32101	       0	        1.00	    1.00	1.00	    -	            16	            1
	84	 57	    2	       176	       0	        1.00	    1.00	1.00	    10	            3	            1
	84	 38	    1	       32146	       0	        0.02	    0.02	0.05	    -	            20	            1
end
