//Map		X		Y		TX		TY		MinLevel		MaxLevel		MinReset		MaxReset		AccountLevel		PKMove
0		1		1		255		255		1			400			*			*			*			1
1		1		1		255		255		1			400			*			*			*			1
2		1		1		255		255		1			400			*			*			*			1
3		1		1		255		255		1			400			*			*			*			1
4		1		1		255		255		1			400			*			*			*			1
6		1		1		255		255		1			400			*			*			*			1
7		1		1		255		255		1			400			*			*			*			1
8		1		1		255		255		1			400			*			*			*			1
10		1		1		255		255		1			400			*			*			*			1
30		1		1		255		255		1			400			*			*			*			1
33		1		1		255		255		1			400			*			*			*			1
34		1		1		255		255		1			400			*			*			*			1
37		1		1		255		255		1			400			*			*			*			1
38		1		1		255		255		1			400			*			*			*			1
41		1		1		255		255		1			400			*			*			*			1
42		1		1		255		255		1			400			*			*			*			1
51		1		1		255		255		1			400			*			*			*			1
56		1		1		255		255		1			400			*			*			*			1
57		1		1		255		255		1			400			*			*			*			1
80		1		1		255		255		1			400			*			*			*			1
81		1		1		255		255		1			400			*			*			*			1
82		1		1		255		255		1			400			*			*			*			1
83		1		1		255		255		1			400			*			*			*			1
84		1		1		255		255		1			400			*			*			*			1
85		1		1		255		255		1			400			*			*			*			1
86		1		1		255		255		1			400			*			*			*			1
87		1		1		255		255		1			400			*			*			*			1
88		1		1		255		255		1			400			*			*			*			1
89		1		1		255		255		1			400			*			*			*			1
90		1		1		255		255		1			400			*			*			*			1
91		1		1		255		255		1			400			*			*			*			1
92		1		1		255		255		1			400			*			*			*			1
93		1		1		255		255		1			400			*			*			*			1
94		1		1		255		255		1			400			*			*			*			1
95		1		1		255		255		1			400			*			*			*			1
96		1		1		255		255		1			400			*			*			*			1
end
