//------------------------------------------------------------------------------
// Ruud Shop
//------------------------------------------------------------------------------
// Descripcion: Tienda Shop Exclusiva Item Mix S15
// -----------------------------------------------------------------------------
// MaxPage: 5
// Slot Por Page: 5
// Class: -1 = All Class
// Class: 0 = Dark Wizard
// Class: 1 = Dark Knight
// Class: 2 = Muse Elf
// Class: 3 = Magic Gladiator
// Class: 4 = Dark Lord
// Class: 5 = Summoner
// Class: 6 = Rage Fighter
// ------------------------------
//Type Item Class Page Slot Price   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
//-- Item Mago
7      99   0	  1    1    500	    11       0     0       1      7        0	0	0	0	254	254	254	254	254
8      99   0	  1    2    500	    11       0     0       1      7        0	0	0	0	254	254	254	254	254
9      99   0	  1    3    500	    11       0     0       1      7        0	0	0	0	254	254	254	254	254
10     99   0	  1    4    500	    11       0     0       1      7        0	0	0	0	254	254	254	254	254
11     99   0	  1    5    500	    11       0     0       1      7        0	0	0	0	254	254	254	254	254
//-- Item BK
7      98   1	  1    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
8      98   1	  1    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
9      98   1	  1    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
10     98   1	  1    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
11     98   1	  1    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//-- Item ELF
7      100  2	  1    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
8      100  2	  1    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
9      100  2	  1    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
10     100  2	  1    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
11     100  2	  1    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//-- Item MG
8      102  3	  1    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
9      102  3	  1    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
10     102  3	  1    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
11     102  3	  1    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//-- Item DL
7      103  4	  1    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
8      103  4	  1    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
9      103  4	  1    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
10     103  4	  1    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
11     103  4	  1    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//-- Item SUM
7      101  5	  1    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
8      101  5	  1    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
9      101  5	  1    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
10     101  5	  1    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
11     101  5	  1    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//-- Item RF
7      104  6	  1    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
8      104  6	  1    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
9      104  6	  1    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
11     104  6	  1    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//-- Item General
13     149  -1	  2    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     150  -1	  2    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     151  -1	  2    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     152  -1	  2    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     153  -1	  2    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//--
13     154  -1	  3    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     155  -1	  3    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     165  -1	  3    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     166  -1	  3    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     167  -1	  3    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//--
13     168  -1	  4    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     169  -1	  4    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     170  -1	  4    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     171  -1	  4    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     173  -1	  4    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
//--
13     174  -1	  5    1    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     175  -1	  5    2    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     176  -1	  5    3    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     230  -1	  5    4    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13     231  -1	  5    5    500	    0       0     0       0      0        0	0	0	0	255	255	255	255	255
end
