//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1010	1010	10	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Talisman of Luck (10 %)
1020	1020	60	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Devil Square Ticket (1 UN)
1030	1030	60	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Blood Castle Ticket (1 UN)
1040	1040	60	6777	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Access Ticket to Chaos Castle (1 UN)
1050	1050	60	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Kalima Ticket (1 UN)
1070	1070	60	6782	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Access Ticket to Varka (1 UN)
1090	1090	60	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Quickness (1 Days)
1090	1091	260	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pergamino de Rapidez (7 Days)
1100	1100	60	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Strength (1 Days)
1100	1101	260	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Strength (7 Days)
1110	1110	60	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Battle (1 Days)
1110	1111	260	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Battle (7 Days)
1120	1120	60	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Health (1 Days)
1120	1121	260	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Health (7 Days)
1130	1130	60	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Mana (1 Days)
1130	1131	260	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Mana (7 Days)
1140	1140	5000	7328	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Joyas de Extension (250 UN)
1150	1150	60	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Defense (1 Days)
1150	1151	260	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Defense (7 Days)
1160	1160	250	7285	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Character Rename Service (1 UN)
1170	1170	5000	6294	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Jewel Combination Frame (1 UN)
1200	1200	250	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Talisman of Luck (10 %)
1220	1220	90	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Anillo Skeleton (3 Days)
1220	1221	180	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Anillo Skeleton (7 Days)
1230	1230	100	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Anillo Panda (3 Days)
1230	1231	190	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Anillo Panda (7 Days)
